timestamps,TP9,AF7,AF8,TP10
1664549462.777,-42.969,-28.809,-34.180,-23.926,0
1664549462.780,-25.391,-22.461,-34.668,-18.555,0
1664549462.784,-34.668,-22.949,-40.039,-18.066,0
1664549462.788,-50.293,-24.414,-31.250,-26.855,0
1664549462.792,-65.430,-21.973,-22.949,-36.133,0
1664549462.796,-56.152,-20.508,-21.484,-36.621,0
1664549462.758,-44.434,-24.414,-23.438,-33.203,0
1664549462.762,-58.105,-28.809,-47.363,-41.504,0
1664549462.766,-61.523,-25.391,-61.035,-43.945,0
1664549462.770,-38.086,-24.902,-37.598,-22.949,0
1664549462.774,-32.227,-29.785,-26.367,-12.695,0
1664549462.778,-60.547,-32.227,-42.480,-30.273,0
1664549462.782,-69.824,-30.762,-39.062,-52.246,0
1664549462.785,-54.199,-27.344,-22.461,-40.527,0
1664549462.789,-34.180,-31.250,-45.898,-8.301,0
1664549462.793,-43.945,-32.715,-54.688,-10.742,0
1664549462.797,-66.895,-26.367,-40.527,-40.039,0
1664549462.801,-53.223,-22.461,-39.551,-40.039,0
1664549462.806,-34.668,-21.973,-25.879,-20.508,0
1664549462.810,-34.668,-20.996,-21.973,-20.020,0
1664549462.814,-48.340,-19.531,-28.320,-41.016,0
1664549462.818,-45.410,-22.461,-46.387,-43.457,0
1664549462.822,-21.973,-23.438,-50.293,-8.789,0
1664549462.826,-21.484,-24.902,-53.223,5.859,0
1664549462.830,-51.758,-29.785,-41.992,-28.320,0
1664549462.833,-76.172,-33.691,-17.578,-53.223,0
1664549462.837,-55.664,-30.273,-25.391,-16.602,0
1664549462.841,-36.621,-27.832,-39.062,0.000,0
1664549462.845,-44.434,-24.902,-50.781,-26.367,0
1664549462.849,-45.898,-20.996,-45.898,-29.297,0
1664549462.847,-34.180,-21.973,-20.996,-14.160,0
1664549462.851,-22.949,-24.414,-13.672,1.953,0
1664549462.855,-39.551,-27.344,-31.250,-7.324,0
1664549462.859,-60.059,-26.367,-49.805,-23.926,0
1664549462.863,-59.570,-25.391,-30.762,-25.391,0
1664549462.867,-40.039,-29.297,-22.461,-14.160,0
1664549462.871,-43.457,-31.250,-21.484,-22.949,0
1664549462.874,-56.641,-35.645,-19.043,-40.039,0
1664549462.878,-55.176,-30.273,-27.344,-20.508,0
1664549462.882,-54.199,-19.043,-23.438,-8.301,0
1664549462.886,-40.527,-21.484,-29.297,-7.812,0
1664549462.890,-45.410,-27.832,-28.809,-26.855,0
1664549462.891,-66.406,-33.203,-26.855,-48.828,0
1664549462.895,-53.711,-33.691,-29.785,-29.297,0
1664549462.899,-36.133,-34.668,-19.531,-6.348,0
1664549462.903,-49.316,-29.785,-15.625,-18.555,0
1664549462.907,-63.477,-24.902,-18.555,-41.504,0
1664549462.911,-49.805,-27.344,-19.531,-25.391,0
1664549462.915,-22.461,-22.949,-25.391,-5.859,0
1664549462.918,-23.926,-22.461,-31.250,-6.836,0
1664549462.922,-50.781,-22.949,-39.551,-18.555,0
1664549462.926,-51.270,-22.461,-50.293,-25.391,0
1664549462.930,-29.785,-31.738,-28.809,-17.578,0
1664549462.934,-29.297,-35.645,-7.324,-32.227,0
1664549462.936,-53.223,-29.785,-12.207,-51.270,0
1664549462.940,-63.477,-27.344,-12.207,-54.199,0
1664549462.944,-40.527,-24.414,-20.996,-31.250,0
1664549462.948,-25.879,-19.531,-27.344,-14.160,0
1664549462.952,-36.621,-20.508,-28.809,-27.832,0
1664549462.956,-57.617,-27.344,-21.484,-38.086,0
1664549462.960,-47.363,-30.273,-3.418,-29.785,0
1664549462.963,-30.762,-31.738,-21.484,-11.230,0
1664549462.967,-54.199,-28.809,-40.039,-40.039,0
1664549462.971,-65.918,-26.367,-21.484,-71.777,0
1664549462.975,-45.410,-22.461,-16.602,-34.668,0
1664549462.979,-20.020,-21.484,-34.180,9.766,0
1664549462.982,-32.227,-28.809,-24.902,-10.742,0
1664549462.986,-48.340,-26.855,-7.812,-36.133,0
1664549462.990,-31.250,-21.484,-6.836,-24.414,0
1664549462.994,-25.391,-27.344,-2.441,-16.602,0
1664549462.998,-32.715,-29.785,-4.395,-28.320,0
1664549463.002,-27.832,-25.391,-15.137,-26.855,0
1664549463.006,-24.902,-27.344,-21.973,0.488,0
1664549463.009,-19.043,-28.320,-16.602,16.113,0
1664549463.013,-7.812,-26.367,-7.812,-3.906,0
1664549463.017,-23.438,-32.227,-6.348,-13.672,0
1664549463.021,-49.316,-39.062,-8.789,-21.973,0
1664549463.025,-35.645,-40.527,-24.902,-12.695,0
1664549463.027,-19.043,-40.039,-13.184,10.254,0
1664549463.031,-28.320,-38.086,20.508,4.883,0
