timestamps,TP9,AF7,AF8,TP10
1664462252.669,-20.020,-26.855,73.730,-12.207,0
1664462252.673,-4.883,-16.113,84.473,0.977,0
1664462252.677,4.883,-20.508,85.449,1.465,0
1664462252.681,-18.555,-29.297,71.777,-6.836,0
1664462252.685,-32.227,-32.227,66.895,-2.930,0
1664462252.688,-31.738,-40.527,60.059,1.953,0
1664462252.692,-18.555,-40.039,53.711,12.207,0
1664462252.696,-18.066,-34.668,68.848,-0.488,0
1664462252.700,-32.227,-32.227,81.543,-15.625,0
1664462252.704,-28.809,-27.344,79.590,-11.719,0
1664462252.706,-12.695,-25.879,71.777,-12.207,0
1664462252.710,-5.859,-21.973,73.242,-7.812,0
1664462252.714,-27.832,-20.996,68.848,-15.137,0
1664462252.718,-39.062,-28.320,57.617,-13.184,0
1664462252.722,-21.484,-36.133,65.918,-3.906,0
1664462252.726,0.488,-35.645,72.754,7.812,0
1664462252.730,-26.367,-31.250,75.195,-5.859,0
1664462252.733,-38.574,-26.855,76.172,-8.301,0
1664462252.737,-30.762,-29.785,68.848,8.789,0
1664462252.741,-4.395,-30.762,60.059,7.812,0
1664462252.745,-13.184,-30.273,53.711,-3.418,0
1664462252.749,-36.621,-35.645,60.059,-13.672,0
1664462252.750,-26.855,-37.109,66.895,-11.719,0
1664462252.754,-8.301,-31.738,74.219,1.465,0
1664462252.758,-15.137,-31.250,73.242,-0.488,0
1664462252.762,-38.086,-31.250,66.895,-12.207,0
1664462252.766,-37.109,-28.809,68.359,-15.625,0
1664462252.770,-8.789,-27.344,67.871,-0.488,0
1664462252.774,-0.488,-26.855,66.895,7.812,0
1664462252.777,-33.691,-26.367,55.176,4.883,0
1664462252.781,-46.875,-29.297,62.012,-8.789,0
1664462252.785,-29.297,-37.109,70.801,-16.113,0
1664462252.789,-4.395,-37.109,63.965,-1.953,0
1664462252.793,-28.809,-35.645,63.477,0.488,0
1664462252.795,-37.109,-37.109,62.988,1.953,0
1664462252.799,-15.137,-34.180,71.289,-4.395,0
1664462252.803,7.324,-32.715,78.125,-2.930,0
1664462252.807,-10.254,-31.250,82.520,-3.418,0
1664462252.811,-30.762,-28.809,73.242,-11.230,0
1664462252.815,-27.344,-36.621,63.965,-14.160,0
1664462252.819,-6.836,-38.574,68.359,0.977,0
1664462252.822,-2.441,-30.273,69.824,13.672,0
1664462252.826,-20.508,-23.926,72.266,0.488,0
1664462252.830,-25.879,-24.902,70.312,-12.695,0
1664462252.834,-9.277,-24.902,72.754,-3.906,0
1664462252.838,1.953,-24.902,82.031,0.977,0
1664462252.840,-13.672,-20.996,90.332,-4.395,0
1664462252.844,-21.484,-20.020,83.496,9.277,0
1664462252.848,-4.883,-30.273,66.895,24.902,0
1664462252.852,15.137,-29.785,63.477,27.832,0
1664462252.856,-5.371,-25.879,65.918,8.301,0
1664462252.860,-19.531,-23.438,64.453,3.418,0
1664462252.864,-13.184,-24.902,57.617,13.184,0
1664462252.867,7.324,-24.414,58.105,-2.930,0
1664462252.871,-5.371,-21.973,62.500,-14.160,0
1664462252.875,-24.902,-21.484,64.453,-6.836,0
1664462252.879,-11.719,-26.855,69.824,8.301,0
1664462252.883,20.020,-35.645,65.430,14.160,0
1664462252.885,24.902,-22.949,69.336,11.230,0
1664462252.889,-4.883,-17.090,73.730,3.906,0
1664462252.893,-13.184,-21.484,68.359,6.836,0
1664462252.897,7.324,-20.996,71.777,24.414,0
1664462252.901,17.090,-25.391,66.406,27.832,0
1664462252.905,-6.348,-23.926,68.848,20.508,0
1664462252.909,-17.578,-25.879,83.984,16.602,0
1664462252.912,-9.766,-32.715,84.473,6.836,0
1664462252.916,14.648,-29.297,75.684,11.719,0
1664462252.920,-1.953,-27.832,66.895,1.953,0
1664462252.924,-20.020,-26.855,76.660,-2.441,0
1664462252.928,-16.113,-24.414,86.426,-5.859,0
1664462252.945,9.766,-21.484,78.125,4.883,0
1664462252.949,0.488,-24.414,64.453,6.836,0
1664462252.953,-26.855,-29.297,61.035,-4.395,0
1664462252.957,-19.531,-28.809,66.895,-3.418,0
1664462252.961,7.324,-26.855,65.918,0.000,0
1664462252.965,3.418,-26.367,60.059,2.930,0
1664462252.969,-26.855,-31.250,65.918,-9.277,0
1664462252.972,-28.809,-32.715,66.895,-19.531,0
1664462252.976,-12.207,-25.879,64.941,-6.348,0
1664462252.980,1.465,-26.367,62.012,15.625,0
1664462252.984,-23.438,-30.273,66.406,-8.789,0
1664462252.988,-27.832,-22.949,68.848,-17.578,0
1664462252.991,-15.137,-25.391,66.895,-8.301,0
1664462252.995,0.488,-33.691,66.895,-0.977,0
1664462252.999,-12.695,-24.902,68.359,-5.859,0
1664462253.003,-34.668,-25.879,64.453,-19.531,0
1664462253.007,-29.297,-30.762,62.988,-21.973,0
1664462253.011,-7.324,-31.738,63.965,-9.277,0
1664462253.015,-10.742,-35.645,59.082,-12.695,0
1664462253.018,-34.180,-33.691,50.293,-24.414,0
1664462253.022,-37.598,-29.297,37.598,-9.766,0
1664462253.026,-9.766,-25.879,44.434,12.207,0
1664462253.030,-2.441,-31.738,55.664,-2.441,0
1664462253.034,-34.180,-37.109,59.082,-18.066,0
1664462253.036,-35.645,-33.691,59.082,-17.090,0
1664462253.040,-22.461,-35.645,60.547,-13.184,0
1664462253.044,-12.695,-37.109,59.570,-2.930,0
1664462253.048,-36.621,-33.691,51.758,-2.441,0
1664462253.052,-47.852,-32.227,60.547,-1.953,0
1664462253.056,-34.668,-33.691,60.547,-0.488,0
1664462253.060,-13.672,-36.133,56.152,-0.488,0
1664462253.063,-19.531,-32.227,59.082,-3.418,0
1664462253.067,-45.898,-30.762,48.828,5.371,0
1664462253.071,-46.875,-31.250,61.523,3.906,0
1664462253.075,-11.230,-26.367,72.266,4.883,0
1664462253.079,-20.508,-32.227,60.547,4.883,0
1664462253.081,-45.898,-34.668,61.523,-4.883,0
1664462253.085,-33.691,-30.273,62.500,-13.184,0
1664462253.089,-10.254,-34.180,56.152,-6.836,0
1664462253.093,0.977,-36.133,59.082,4.395,0
1664462253.097,-20.508,-33.203,55.176,-13.672,0
1664462253.101,-33.691,-30.273,51.758,-22.461,0
1664462253.105,-16.113,-27.832,67.383,-11.719,0
1664462253.108,7.324,-27.344,68.359,9.766,0
1664462253.112,-16.113,-23.438,63.965,13.672,0
1664462253.116,-32.715,-25.391,65.918,-2.930,0
1664462253.120,-23.438,-30.762,56.641,-2.930,0
1664462253.124,2.930,-29.785,50.781,5.859,0
1664462253.126,-5.371,-27.832,53.223,6.348,0
1664462253.130,-28.320,-25.879,57.129,12.695,0
1664462253.134,-33.203,-27.344,59.570,3.418,0
1664462253.138,-16.113,-29.785,60.059,-11.230,0
1664462253.142,-15.625,-28.809,65.918,-20.996,0
1664462253.146,-35.645,-19.043,76.172,-20.508,0
1664462253.150,-28.809,-18.555,73.730,-9.277,0
1664462253.153,-10.742,-24.902,56.152,6.348,0
1664462253.157,-5.371,-30.273,55.176,11.719,0
1664462253.161,-25.391,-31.738,64.941,-6.836,0
1664462253.165,-32.715,-27.832,68.359,-9.277,0
1664462253.169,-24.414,-31.250,60.059,0.977,0
1664462253.171,-2.441,-28.809,68.848,2.441,0
1664462253.175,-18.066,-24.414,80.566,-11.719,0
1664462253.179,-33.691,-25.879,75.684,-9.766,0
1664462253.183,-17.578,-29.785,70.801,9.766,0
1664462253.187,6.348,-31.250,72.266,28.320,0
1664462253.191,-2.930,-29.785,79.102,22.949,0
1664462253.195,-21.484,-22.949,73.242,9.766,0
1664462253.198,-26.855,-20.020,46.875,3.906,0
1664462253.202,-7.324,-20.996,49.316,-2.441,0
1664462253.206,-0.977,-22.949,65.918,-7.812,0
1664462253.210,-32.715,-30.273,69.824,-18.066,0
1664462253.214,-30.762,-26.855,70.312,-8.301,0
1664462253.216,-6.836,-24.414,68.359,1.953,0
1664462253.220,0.000,-27.832,68.848,5.371,0
1664462253.224,-20.020,-33.691,62.988,4.395,0
1664462253.228,-27.344,-33.691,55.664,0.000,0
1664462253.232,-13.672,-23.438,63.965,3.418,0
1664462253.236,11.719,-28.809,60.059,14.160,0
1664462253.240,-15.625,-39.062,46.387,11.230,0
1664462253.243,-36.621,-37.598,61.035,-3.418,0
1664462253.247,-12.207,-34.668,72.754,-15.137,0
1664462253.251,9.766,-30.762,68.848,-7.324,0
1664462253.255,-2.930,-29.297,66.895,-6.348,0
1664462253.259,-28.809,-32.715,65.430,-19.043,0
1664462253.261,-25.879,-29.297,60.547,-13.184,0
1664462253.265,6.348,-26.855,56.152,3.906,0
1664462253.269,11.719,-26.367,55.176,5.859,0
1664462253.273,-15.625,-22.461,71.289,4.395,0
1664462253.277,-15.137,-28.320,69.824,8.789,0
1664462253.281,-9.766,-37.598,44.922,10.254,0
1664462253.285,-13.184,-43.945,56.641,10.742,0
1664462253.288,-33.691,-47.363,74.707,-11.719,0
1664462253.292,-44.434,-41.016,70.801,-28.320,0
1664462253.296,-34.180,-31.250,63.477,-16.113,0
1664462253.300,-0.977,-33.691,62.988,4.883,0
1664462253.304,-17.090,-33.203,70.312,-7.812,0
1664462253.321,-45.898,-35.645,63.477,-18.555,0
1664462253.325,-37.109,-45.410,50.781,-15.625,0
1664462253.329,-7.812,-41.992,55.176,-0.977,0
1664462253.333,-6.836,-38.086,62.500,8.789,0
1664462253.337,-27.344,-38.086,64.941,-7.324,0
1664462253.341,-30.762,-37.598,61.523,-6.836,0
1664462253.345,-13.184,-39.551,68.359,1.953,0
