timestamps,TP9,AF7,AF8,TP10
1668620273.517,-949.707,-896.484,-717.285,243.652
1668620273.521,-1000.000,-1000.000,-1000.000,-1000.000
1668620273.525,-50.293,-166.504,-506.836,-904.785
1668620273.526,-975.586,-932.617,438.477,709.473
1668620273.530,-368.164,-197.266,-156.250,400.879
1668620273.534,-1000.000,-1000.000,-1000.000,-1000.000
1668620273.538,-186.523,-364.746,-768.066,-1000.000
1668620273.542,-906.250,-962.402,246.094,98.145
1668620273.546,76.172,155.762,11.719,840.820
1668620273.550,-1000.000,-1000.000,-998.047,-680.664
1668620273.553,-569.824,-883.789,-961.914,-1000.000
1668620273.557,-957.031,705.566,49.805,-195.801
1668620273.561,259.277,346.680,250.000,-871.582
1668620273.565,-1000.000,-1000.000,-908.691,34.180
1668620273.569,-1000.000,-1000.000,-1000.000,-1000.000
1668620273.571,417.969,104.980,-200.684,-506.348
1668620273.575,692.383,757.324,423.340,-937.500
1668620273.579,-888.672,-768.066,-538.086,259.766
1668620273.583,-1000.000,-1000.000,-1000.000,-1000.000
1668620273.587,-149.902,-184.570,-579.102,-1000.000
1668620273.591,-898.926,-892.090,443.359,534.180
1668620273.595,-177.734,-71.777,-76.172,509.277
1668620273.598,-1000.000,-1000.000,-1000.000,-997.070
1668620273.602,-214.355,-443.359,-812.500,-1000.000
1668620273.606,-838.379,-923.828,242.676,-46.387
1668620273.610,246.094,258.789,104.980,990.723
1668620273.614,-1000.000,-1000.000,-1000.000,-426.270
1668620273.571,417.969,104.980,-200.684,-506.348
1668620273.575,692.383,757.324,423.340,-937.500
1668620273.579,-888.672,-768.066,-538.086,259.766
1668620273.583,-1000.000,-1000.000,-1000.000,-1000.000
1668620273.587,-149.902,-184.570,-579.102,-1000.000
1668620273.591,-898.926,-892.090,443.359,534.180
1668620273.595,-177.734,-71.777,-76.172,509.277
1668620273.598,-1000.000,-1000.000,-1000.000,-997.070
1668620273.602,-214.355,-443.359,-812.500,-1000.000
1668620273.606,-838.379,-923.828,242.676,-46.387
1668620273.610,246.094,258.789,104.980,990.723
1668620273.614,-1000.000,-1000.000,-1000.000,-426.270
1668620273.632,-625.000,-939.453,-985.352,-1000.000
1668620273.636,-968.262,632.324,61.523,-203.125
1668620273.640,345.703,449.707,271.484,-854.004
1668620273.644,-1000.000,-1000.000,-907.715,145.020
1668620273.648,-1000.000,-1000.000,-1000.000,-1000.000
1668620273.652,274.414,-3.418,-257.812,-622.559
1668620273.656,830.078,885.254,445.801,-989.746
1668620273.659,-732.422,-577.637,-421.387,265.137
1668620273.663,-1000.000,-1000.000,-1000.000,-1000.000
1668620273.667,-186.523,-217.285,-520.508,-1000.000
1668620273.671,-884.277,-875.977,444.824,341.309
1668620273.675,-65.430,59.082,-66.895,638.184
1668620273.677,-1000.000,-1000.000,-1000.000,-921.875
1668620273.681,-334.473,-604.004,-887.695,-1000.000
1668620273.685,-870.117,985.352,133.789,-183.105
1668620273.689,243.652,262.207,146.484,-909.180
1668620273.693,-1000.000,-1000.000,-989.258,-168.457
1668620273.697,-901.855,-1000.000,-1000.000,-1000.000
1668620273.701,715.820,302.246,-20.020,-292.480
1668620273.704,490.234,581.543,292.969,-865.234
1668620273.708,-999.023,-938.965,-781.738,250.000
1668620273.712,-1000.000,-1000.000,-999.023,-1000.000
1668620273.716,-8.789,-151.367,-474.609,-774.414
1668620273.720,963.379,-978.027,423.340,869.141
1668620273.721,-479.980,-288.574,-245.605,283.691
1668620273.725,-1000.000,-1000.000,-1000.000,-1000.000
1668620273.729,-208.008,-414.551,-766.113,-1000.000
1668620273.733,-841.309,-921.875,299.805,215.332
1668620273.737,102.051,207.520,34.180,765.137
1668620273.741,-1000.000,-1000.000,-1000.000,-795.898
1668620273.745,-630.371,-1000.000,-913.086,-1000.000
1668620273.748,812.500,502.441,51.758,-187.988
1668620273.752,272.949,345.703,287.109,-889.648
1668620273.756,-1000.000,-1000.000,-864.746,-67.383
1668620273.760,-1000.000,-1000.000,-1000.000,-1000.000
1668620273.764,27.344,-76.172,-250.977,-417.480
1668620273.766,655.762,718.262,330.078,-906.250
1668620273.770,-854.980,-738.281,-618.164,258.789
1668620273.774,-1000.000,-1000.000,-1000.000,-1000.000
1668620273.778,-189.453,-296.875,-698.242,-902.344
1668620273.782,-895.020,-915.527,380.859,709.473
1668620273.786,-60.547,22.949,-31.738,398.926
1668620273.790,-1000.000,-1000.000,-1000.000,-1000.000
1668620273.793,-605.957,-805.664,-868.652,-1000.000
1668620273.797,990.234,771.973,195.312,83.008
1668620273.801,265.625,296.387,113.770,807.617
1668620273.805,-1000.000,-1000.000,-977.539,-715.332
1668620273.809,-1000.000,-1000.000,-1000.000,-1000.000
1668620273.810,304.688,187.012,-72.266,-195.801
1668620273.814,442.871,532.227,284.180,-873.535
1668620273.818,-1000.000,-949.219,-821.777,34.180
1668620273.822,-1000.000,-1000.000,-1000.000,-1000.000
1668620273.826,-95.703,-116.211,-459.473,-501.953
1668620273.830,773.438,868.652,333.984,998.535
1668620273.834,-681.641,-534.668,-395.996,174.805
1668620273.837,-1000.000,-1000.000,-1000.000,-1000.000
1668620273.841,-288.574,-375.000,-694.824,-1000.000
1668620273.845,-907.715,-922.363,354.980,530.762
1668620273.849,48.828,150.391,18.555,518.066
1668620273.853,-1000.000,-1000.000,-1000.000,-988.281
1668620273.855,-746.582,-916.992,-950.684,-1000.000
1668620273.859,854.492,644.531,72.754,-74.707
1668620273.863,285.156,305.176,188.477,963.379
1668620273.867,-1000.000,-1000.000,-946.289,-448.730
1668620273.871,-1000.000,-1000.000,-1000.000,-1000.000
1668620273.875,203.613,75.684,-140.137,-202.148
1668620273.879,575.684,625.488,402.832,-854.492
1668620273.882,-934.082,-881.348,-612.793,145.020
1668620273.886,-1000.000,-1000.000,-1000.000,-1000.000
1668620273.890,-151.855,-165.039,-592.285,-622.559
1668620273.894,988.770,-957.031,352.051,-989.258
1668620273.898,-345.215,-233.398,-242.188,265.137
1668620273.900,-1000.000,-1000.000,-1000.000,-1000.000
1668620273.904,-397.949,-525.879,-812.500,-1000.000
1668620273.908,-924.316,-976.562,297.852,345.215
1668620273.912,163.574,250.000,70.312,607.910
1668620273.916,-1000.000,-1000.000,-1000.000,-939.453
1668620273.920,-921.875,-1000.000,-953.125,-1000.000
1668620273.924,641.113,428.711,82.031,-174.316
1668620273.927,304.199,367.676,269.043,-940.918
1668620273.931,-1000.000,-1000.000,-903.809,-226.074
1668620273.935,-1000.000,-1000.000,-1000.000,-1000.000
1668620273.939,52.246,-71.777,-103.516,-311.523
1668620273.943,660.156,787.598,434.570,-874.512
1668620273.961,-856.934,-671.387,-592.285,253.418
1668620273.965,-1000.000,-1000.000,-1000.000,-1000.000
